date,p0,p1,refit_date
2022-05-31,0.9999999999999997,3.439996179807204e-16,2021-12-31
2022-06-30,0.9999999999999996,5.107135505472899e-16,2021-12-31
2022-07-31,1.0,1.4819883435233301e-19,2021-12-31
2022-08-31,1.0,5.3439817170498496e-17,2021-12-31
2022-09-30,0.9999999999990583,9.416955718025594e-13,2021-12-31
2022-10-31,0.9999999892353637,1.0764636207606585e-08,2021-12-31
2022-11-30,0.9999999865052832,1.3494716882858856e-08,2021-12-31
2022-12-31,1.276198327285185e-06,0.9999987238016728,2022-12-31
2023-01-31,0.0003860709198679244,0.9996139290801321,2022-12-31
2023-02-28,5.917040950417788e-05,0.9999408295904959,2022-12-31
2023-03-31,0.007275651132607498,0.9927243488673925,2022-12-31
2023-04-30,0.09039017149755935,0.9096098285024407,2022-12-31
2023-05-31,0.14545260469677715,0.8545473953032228,2022-12-31
2023-06-30,0.9391465242114799,0.060853475788520094,2022-12-31
2023-07-31,0.9985843555555008,0.0014156444444990571,2022-12-31
2023-08-31,0.9995434456097705,0.00045655439022949647,2022-12-31
2023-09-30,0.39571921332612664,0.6042807866738734,2022-12-31
2023-10-31,0.0001189820785271654,0.9998810179214729,2022-12-31
2023-11-30,0.007162651771657585,0.9928373482283424,2022-12-31
2023-12-31,8.507046317572628e-08,0.9999999149295368,2023-12-31
2024-01-31,4.0282870170739206e-08,0.9999999597171297,2023-12-31
2024-02-29,1.812166567294441e-08,0.9999999818783343,2023-12-31
2024-03-31,2.507292811096977e-07,0.9999997492707189,2023-12-31
2024-04-30,1.1304263778901758e-09,0.9999999988695736,2023-12-31
2024-05-31,4.036225676972117e-08,0.9999999596377431,2023-12-31
2024-06-30,1.230223048814535e-07,0.9999998769776951,2023-12-31
2024-07-31,4.755193782581185e-09,0.9999999952448062,2023-12-31
2024-08-31,4.4930979826469036e-08,0.9999999550690202,2023-12-31
2024-09-30,2.6393885104683853e-09,0.9999999973606114,2023-12-31
2024-10-31,5.4944308282675544e-11,0.9999999999450557,2023-12-31
2024-11-30,2.455985612855451e-08,0.9999999754401439,2023-12-31
2024-12-31,7.3395481172423455e-09,0.9999999926604518,2024-12-31
2025-01-31,1.6032206537653021e-09,0.9999999983967793,2024-12-31
2025-02-28,5.14701620072708e-10,0.9999999994852984,2024-12-31
2025-03-31,3.6885481974180156e-10,0.9999999996311452,2024-12-31
2025-04-30,5.1340089420849275e-11,0.99999999994866,2024-12-31
2025-05-31,4.648507097033562e-11,0.9999999999535149,2024-12-31
2025-06-30,4.828022930113699e-10,0.9999999995171976,2024-12-31
2025-07-31,9.173976589531864e-10,0.9999999990826024,2024-12-31
2025-08-31,6.374055121129445e-09,0.9999999936259448,2024-12-31
2025-09-30,2.1438525380264968e-08,0.9999999785614746,2024-12-31
2025-10-31,3.5090175230870245e-09,0.9999999964909825,2024-12-31
2025-11-30,8.222777910458627e-09,0.9999999917772221,2024-12-31
2025-12-31,1.1356323239182427e-10,0.9999999998864367,2025-12-31
2026-01-31,2.3053312424440543e-10,0.9999999997694669,2025-12-31
2026-03-31,6.043182953857532e-09,0.999999993956817,2025-12-31
2026-04-30,1.0592910659347804e-07,0.9999998940708934,2025-12-31
2026-05-31,2.2214479784316742e-08,0.9999999777855202,2025-12-31
2026-06-30,5.666220167321408e-09,0.9999999943337798,2025-12-31
2026-07-31,1.607538967783438e-10,0.999999999839246,2025-12-31
