date,p0,p1
2010-04-30,1.0,1.187860329241609e-14
2010-05-31,0.9999999999990905,7.095206291612357e-13
2010-06-30,0.9999999999990905,8.405894472320727e-13
2010-07-31,0.999999999996362,3.4268420823468643e-12
2010-08-31,0.9999999998713065,1.2890586085509407e-10
2010-09-30,0.9999999998562998,1.4365668712040436e-10
2010-10-31,0.9999999997653504,2.3474150162556394e-10
2010-11-30,0.9999999999085958,9.15147061475159e-11
2010-12-31,0.9999999993360689,6.641171429016192e-10
2011-01-31,0.9999999999486135,5.151609580339179e-11
2011-02-28,0.9999999998126441,1.8724721228734964e-10
2011-03-31,0.9999999978736014,2.1263702761003645e-09
2011-04-30,0.9999999990450306,9.551915608463052e-10
2011-05-31,0.9999999999181455,8.172556344455145e-11
2011-06-30,0.9999999999936335,6.4150845971466784e-12
2011-07-31,0.9999999999995453,3.8609083151235156e-13
2011-08-31,0.9999999999986358,1.4089588694353586e-12
2011-09-30,0.9999999994315658,5.683814986986622e-10
2011-10-31,0.9999999991687218,8.311568233155474e-10
2011-11-30,0.9999999988344825,1.1656771635943589e-09
2011-12-31,0.9999999409596985,5.90404879895371e-08
2012-01-31,0.9999998597727525,1.4022730867842827e-07
2012-02-29,0.9999996700753944,3.299244851534808e-07
2012-03-31,0.9999991313938288,8.686060254203583e-07
2012-04-30,0.9999979503316441,2.049668320159382e-06
2012-05-31,0.9999982834880209,1.7165119347967663e-06
2012-06-30,0.9999975693283414,2.4306715550243066e-06
2012-07-31,0.9999994797919033,5.202079927504231e-07
2012-08-31,0.9999999381589096,6.184087013327786e-08
2012-09-30,0.9999999156057164,8.43942817887073e-08
2012-10-31,0.9999997321552104,2.6784459128092184e-07
2012-11-30,0.9999994738292591,5.261708238667041e-07
2012-12-31,0.9999999814749574,1.8525136428302364e-08
2013-01-31,0.9999999996143742,3.856381228176456e-10
2013-02-28,0.999999998455678,1.544449925807885e-09
2013-03-31,0.9999998863268111,1.1367318933431657e-07
2013-04-30,0.999999878103161,1.2189681219474391e-07
2013-05-31,0.9999999998535714,1.4653433766556643e-10
2013-06-30,0.9999999999995453,5.240744813746026e-13
2013-07-31,0.999999999996362,3.789562744040497e-12
2013-08-31,0.9999999999913598,8.521715989292427e-12
2013-09-30,0.999999999949523,5.069877216616859e-11
2013-10-31,0.9999999999281499,7.186134327928812e-11
2013-11-30,0.999999999996362,3.753673349977383e-12
2013-12-31,0.9999999999986358,1.3203185279267572e-12
2014-01-31,0.9999999998867679,1.1300931421038031e-10
2014-02-28,0.9999999998603926,1.3961918904232298e-10
2014-03-31,0.9999999998067324,1.9325087743124553e-10
2014-04-30,0.9999999998021849,1.9771526467263062e-10
2014-05-31,0.9999999928145371,7.185627834713924e-09
2014-06-30,0.9999999084466296,9.155334336529135e-08
2014-07-31,0.9999999094475284,9.055256733095979e-08
2014-08-31,0.9999989969292556,1.003070851060341e-06
2014-09-30,0.999999936869701,6.313047005947368e-08
2014-10-31,0.9999999334208973,6.657891963696187e-08
2014-11-30,0.9999997466375455,2.533624239792965e-07
2014-12-31,0.9999989378289867,1.0621711784114499e-06
2015-01-31,0.999999816129292,1.8387076691873952e-07
2015-02-28,0.9999999916344677,8.365617957441052e-09
2015-03-31,0.999999981786914,1.8212866137287116e-08
2015-04-30,0.9999999306887755,6.931128199448473e-08
2015-05-31,0.9999999434794533,5.652039714562383e-08
2015-06-30,0.999999970465979,2.9534127665915293e-08
2015-07-31,0.999999977472726,2.252722893859674e-08
2015-08-31,0.9999999267524826,7.324774318192006e-08
2015-09-30,0.9999999403225974,5.967730165939488e-08
2015-10-31,0.9999999884907993,1.1509137818706281e-08
2015-11-30,0.9999999810042939,1.8995585403116923e-08
2015-12-31,0.9999999832762115,1.6723598329593694e-08
2016-01-31,0.9999999954729901,4.526884178884492e-09
2016-02-29,0.9999998230914727,1.7690868868808072e-07
2016-03-31,0.9999999228948612,7.710521500127586e-08
2016-04-30,0.9999999512269836,4.877305674342333e-08
2016-05-31,0.9999995784852196,4.2151476338441414e-07
2016-06-30,0.9999978576888889,2.1423113045333603e-06
2016-07-31,0.999994025324781,5.974675042720551e-06
2016-08-31,0.9999956873718701,4.312628214865347e-06
2016-09-30,0.9999988761948719,1.12380498276125e-06
2016-10-31,0.9999992797350252,7.202650500496131e-07
2016-11-30,0.9999996234897279,3.765101628347278e-07
2016-12-31,0.9999993912712887,6.087285551770348e-07
2017-01-31,0.9999997583086334,2.416913214264146e-07
2017-02-28,0.9999997388140741,2.611858059593229e-07
2017-03-31,0.9999994963979038,5.036022110406662e-07
2017-04-30,0.9999992957912333,7.042086887922742e-07
2017-05-31,0.9999977509440039,2.2490560261338834e-06
2017-06-30,0.9999986092826141,1.3907172642001645e-06
2017-07-31,0.9999993596836478,6.403162670843394e-07
2017-08-31,0.9999876181193798,1.2381880610092885e-05
2017-09-30,0.9997006890387931,0.0002993109613543948
2017-10-31,0.9858201008116804,0.014179899188286119
2017-11-30,0.7493239302898138,0.2506760697100401
2017-12-31,0.3592713706412269,0.6407286293589027
2018-01-31,0.07280206515768889,0.9271979348421081
2018-02-28,0.0014353142575824088,0.9985646857423487
2018-03-31,6.124251214673428e-05,0.999938757488074
2018-04-30,1.3986627483678511e-05,0.9999860133726064
2018-05-31,3.557520246028535e-05,0.9999644247975854
2018-06-30,2.9826266980676355e-05,0.9999701737329596
2018-07-31,3.386709004965871e-05,0.9999661329098426
2018-08-31,4.198744914872673e-05,0.9999580125506481
2018-09-30,1.9600170657413374e-05,0.9999803998295653
2018-10-31,5.620466546810576e-08,0.9999999437955027
2018-11-30,2.3662940227791725e-07,0.999999763370425
2018-12-31,5.781252634789091e-08,0.9999999421875162
2019-01-31,3.3198622849947345e-06,0.999996680137937
2019-02-28,6.388596696791271e-06,0.9999936114031133
2019-03-31,3.826173698926708e-05,0.9999617382630652
2019-04-30,4.931907726460247e-05,0.9999506809228972
2019-05-31,0.00011105920644930329,0.9998889407936724
2019-06-30,0.00044792050850326004,0.9995520794914102
2019-07-31,0.0024770895020585063,0.9975229104979851
2019-08-31,0.01673093237346421,0.9832690676266723
2019-09-30,0.05280525226418259,0.9471947477359163
2019-10-31,0.18385288352527485,0.8161471164745083
2019-11-30,0.7092383545139295,0.2907616454858606
2019-12-31,0.9531823075500409,0.0468176924497468
