date,p0,p1,p2,p3,refit_date
2012-07-31,3.4936003545259234e-28,1.5956589562746778e-26,0.9999999999986713,1.3286322435948657e-12,2011-12-31
2012-08-31,3.174617551642951e-35,6.312268874601557e-23,0.999999999999953,4.6972178200890744e-14,2011-12-31
2012-09-30,2.558915171372081e-48,7.855300158013053e-19,0.9999999999854647,1.4535292861615395e-11,2011-12-31
2012-10-31,7.532084700192604e-43,8.179677133377162e-24,0.999999999942343,5.7656991100413845e-11,2011-12-31
2012-11-30,3.81225754317499e-45,3.327958180796939e-25,0.9999999368357338,6.316426622167324e-08,2011-12-31
2012-12-31,1.9028636000844854e-12,3.0268493073290424e-40,0.9999999999980971,8.453723428946998e-24,2012-12-31
2013-01-31,1.0540684891112636e-15,1.1288147941107529e-41,0.999999999999999,8.703682231425559e-32,2012-12-31
2013-02-28,3.5440119976732745e-12,4.398118409835202e-43,0.9999999999964561,7.548981859699018e-30,2012-12-31
2013-03-31,7.397761149956992e-13,4.240162490642807e-44,0.9999999999992603,6.2160469840459335e-25,2012-12-31
2013-04-30,7.06685366659545e-12,3.303629503542918e-47,0.9999999999929332,3.7985330448135384e-27,2012-12-31
2013-05-31,2.6779584206155628e-17,8.609311755283627e-38,1.0,1.7289439719030037e-29,2012-12-31
2013-06-30,1.1051726013446384e-17,9.171669669598559e-41,1.0,8.828503695764611e-35,2012-12-31
2013-07-31,3.464135278256236e-21,1.0073319825522818e-48,1.0,3.060808308171921e-36,2012-12-31
2013-08-31,3.715144721499493e-18,1.1000033325845747e-47,1.0,1.5190516215528647e-32,2012-12-31
2013-09-30,1.1075036980530492e-15,4.917905916289668e-47,0.9999999999999989,2.496000400183441e-32,2012-12-31
2013-10-31,4.054766819723568e-16,1.8266104579045093e-48,0.9999999999999996,5.434003524661356e-34,2012-12-31
2013-11-30,1.1274127514987122e-16,7.676670997136208e-53,0.9999999999999999,1.9810769639586135e-38,2012-12-31
2013-12-31,2.2932090864907546e-95,8.019432426265789e-26,1.0,2.9316463066508606e-48,2013-12-31
2014-01-31,5.954498639368786e-101,5.91421862908684e-21,1.0,1.7182282979047207e-44,2013-12-31
2014-02-28,2.388136560317663e-99,3.817685775051038e-19,1.0,4.608547202713388e-42,2013-12-31
2014-03-31,1.2817000379935715e-93,1.5744223875857616e-19,1.0,1.6107941341742534e-38,2013-12-31
2014-04-30,7.874539801501614e-89,4.601952306086331e-22,1.0,1.8500056996778752e-39,2013-12-31
2014-05-31,1.0471667029096267e-81,4.412541748718843e-17,1.0,1.4326130957853361e-36,2013-12-31
2014-06-30,1.5679763285779747e-71,3.249565628506996e-17,1.0,9.816380690654339e-38,2013-12-31
2014-07-31,7.052682744375671e-77,6.591253735267748e-17,0.9999999999999999,2.97491723251499e-37,2013-12-31
2014-08-31,1.4377068339642895e-59,1.1625634559015368e-18,1.0,1.0004603226508821e-32,2013-12-31
2014-09-30,3.6625154506910417e-62,6.142509880464236e-16,0.9999999999999994,3.6543953041947666e-31,2013-12-31
2014-10-31,1.22427552724494e-53,8.35810319939384e-18,1.0,8.17807900930889e-29,2013-12-31
2014-11-30,1.7155798683420105e-43,7.426976802030536e-18,1.0,9.89438112522504e-24,2013-12-31
2014-12-31,5.2237573906056306e-18,3.3230726519017306e-53,1.0,1.276467095392053e-22,2014-12-31
2015-01-31,1.1462789465793963e-18,1.3411609576925586e-54,1.0,9.206354765181979e-26,2014-12-31
2015-02-28,4.9221519955236285e-23,1.919238026118338e-68,1.0,7.539369734827175e-23,2014-12-31
2015-03-31,1.052174559189129e-26,1.0694187593605725e-65,1.0,1.2098893680201361e-24,2014-12-31
2015-04-30,5.746348377019162e-32,4.899049405775968e-57,1.0,1.4584318672576226e-17,2014-12-31
2015-05-31,4.129984317950121e-26,9.769460656363608e-56,1.0,6.662744413139789e-18,2014-12-31
2015-06-30,2.9876373192107477e-23,8.254507873047151e-47,1.0,8.329706299533764e-18,2014-12-31
2015-07-31,1.2493263670264704e-25,7.871632592076658e-63,0.9999999999999999,1.1357439325814171e-16,2014-12-31
2015-08-31,5.4404649186470953e-17,2.1237198256041958e-38,1.0,1.939108281024551e-21,2014-12-31
2015-09-30,1.1250345603132085e-16,3.653438352208607e-36,0.9999999999999999,7.139094864913915e-18,2014-12-31
2015-10-31,7.426343246277878e-24,4.683718278397584e-41,0.9999999999992997,7.002986656685289e-13,2014-12-31
2015-11-30,4.89732472438563e-22,7.113361937541213e-35,0.9999999999878131,1.2186872980269427e-11,2014-12-31
2015-12-31,3.711959168868592e-125,1.64872226749035e-22,0.9999452665979824,5.47334020175258e-05,2015-12-31
2016-01-31,2.411116559708678e-124,3.891825380200495e-23,0.9999996898024642,3.101975357963955e-07,2015-12-31
2016-02-29,2.4049119705723777e-122,1.0633541617571403e-23,0.9999986857462311,1.3142537688826613e-06,2015-12-31
2016-03-31,1.8620004009340957e-122,2.1952462846806214e-19,0.6822728407615927,0.3177271592384074,2015-12-31
2016-04-30,3.183921373246724e-117,2.7084589083384234e-11,0.016518640128259755,0.9834813598446557,2015-12-31
2016-05-31,6.865100445276881e-117,1.9104257404842232e-13,0.0009453444398786866,0.9990546555599302,2015-12-31
2016-06-30,1.6831648312416104e-114,8.81050387987738e-10,0.00021625333962212086,0.9997837457793275,2015-12-31
2016-07-31,1.2818777969449785e-116,3.4984138547817467e-15,4.789661500189338e-06,0.9999952103384963,2015-12-31
2016-08-31,8.412021457950266e-116,5.948819108082764e-13,8.803963105465039e-10,0.9999999991190088,2015-12-31
2016-09-30,4.786857653616267e-117,2.4302774828773667e-11,3.074263870171179e-11,0.9999999999449546,2015-12-31
2016-10-31,1.5157200256858982e-115,5.513944581940192e-09,1.847012652497455e-10,0.9999999943013541,2015-12-31
2016-11-30,5.697883665779027e-118,4.0628321193178524e-10,3.1769147836702103e-12,0.9999999995905399,2015-12-31
2016-12-31,1.2305466039176065e-111,6.820225381287694e-11,0.9907243509425666,0.009275648989231167,2016-12-31
2017-01-31,1.9189404283580822e-112,2.1529606438182358e-08,0.816574322246788,0.18342565622360546,2016-12-31
2017-02-28,9.543685941363858e-121,4.664765644010956e-10,0.7846665674180827,0.21533343211544068,2016-12-31
2017-03-31,1.0899490575856266e-112,7.057306692062708e-07,0.4307977175036445,0.5692015767656863,2016-12-31
2017-04-30,4.480501690303751e-100,0.0012769216172032096,0.06732455304562776,0.931398525337169,2016-12-31
2017-05-31,2.5014315734361165e-97,0.015268447106215468,0.04127195736854944,0.9434595955252351,2016-12-31
2017-06-30,5.1613080045722946e-101,2.6627191030398546e-05,0.007586316038265449,0.992387056770704,2016-12-31
2017-07-31,1.996513191040935e-107,3.055373885088142e-06,0.003191993215893441,0.9968049514102215,2016-12-31
2017-08-31,4.255781812629824e-103,0.0002916531079718731,0.06410781090941362,0.9356005359826145,2016-12-31
2017-09-30,1.943602370797134e-106,0.00025177621090777366,0.17776936499032184,0.8219788587987704,2016-12-31
2017-10-31,5.307501272278208e-107,0.0011420668166346735,0.7247477470234831,0.2741101861598823,2016-12-31
2017-11-30,1.4348188514945632e-96,0.0010035068913058433,0.9859193194081459,0.01307717370054835,2016-12-31
