date,p0,p1,p2,p3
2004-11-30,0.9999999999968168,3.283813991349668e-12,1.5671891786142598e-25,4.0147367168172205e-43
2004-12-31,0.9999999999968168,3.2807495060505675e-12,1.0560108710864729e-17,3.8760293261922495e-33
2005-01-31,0.9999999989076969,4.972610827927982e-15,1.0922821937003607e-09,1.8638001032387062e-23
2005-02-28,0.9999665282666106,9.63132793948239e-11,3.347163685605304e-05,4.473666476983728e-18
2005-03-31,0.9901899924607873,7.366412457124486e-10,0.009810006802454238,1.0680689821724446e-13
2005-04-30,0.5947530482114728,1.7281758168039827e-08,0.4052469343859935,1.2100021404101627e-10
2005-05-31,0.15314387475263244,2.3255007694395123e-17,0.8468561252439167,3.2746862983493307e-12
2005-06-30,0.031599461160067406,1.4042418314677807e-23,0.9684005386887405,1.5100480447976853e-10
2005-07-31,0.0006706626802741221,6.078085210984345e-19,0.9993292946414039,4.2678266055332896e-08
2005-08-31,3.161784970955022e-05,7.342726661775746e-18,0.9999683821002672,5.0060461945437785e-11
2005-09-30,5.81978865866505e-07,7.632458327133415e-22,0.9999994145989043,3.4224430478269665e-09
2005-10-31,2.6394015240600295e-10,7.113667290823155e-20,0.9999999997362465,8.895192889049925e-18
2005-11-30,6.011851795828131e-12,1.3857410980161842e-30,0.9999999999936335,2.6963111694723677e-13
2005-12-31,2.883286983001964e-13,3.227761096731722e-33,0.9999986567463492,1.3432531643665908e-06
2006-01-31,7.772443822220997e-17,8.991009388472696e-19,0.999999999958618,4.133620364540192e-11
2006-02-28,9.286260148041898e-19,1.793644170460409e-22,0.9999995658073236,4.341925430673685e-07
2006-03-31,4.406023018998858e-22,1.270479158614568e-24,0.999987979048403,1.2020951378312444e-05
2006-04-30,1.3238604788840524e-24,3.5151829484478206e-23,0.9999999494771158,5.052286087630156e-08
2006-05-31,3.515182185192904e-23,1.4887112083466344e-18,0.9999986350672081,1.3649326666261945e-06
2006-06-30,1.4887112078558185e-18,8.097982458730294e-20,0.9999998862240382,1.1377599192767052e-07
2006-07-31,8.098200538359469e-20,8.877552632881369e-16,0.999997694754185,2.305245999530402e-06
2006-08-31,8.877552668148982e-16,2.6750736269066074e-19,0.9999874462765911,1.2553723354853688e-05
2006-09-30,2.9922682568825473e-19,1.4921435668045504e-19,0.9999436124553946,5.638754467116265e-05
2006-10-31,1.4921556880788795e-19,3.990704995808487e-20,0.9999591647508645,4.083524930242617e-05
2006-11-30,3.9907050799681e-20,9.827737091405109e-19,0.9999999999954525,4.699973500330089e-12
2006-12-31,9.771663130275498e-19,1.1295283043426039e-15,1.0,2.2598975635943471e-13
2007-01-31,1.1295282899198255e-15,2.4225084183671575e-18,0.9999684927736389,3.150722620421516e-05
2007-02-28,2.4313554222527163e-18,2.3435375901533193e-15,0.9999834936100238,1.6506389766322595e-05
2007-03-31,2.3434470096305583e-15,5.4411949607541316e-15,0.9999874973836413,1.2502616491990925e-05
2007-04-30,5.4390584592204776e-15,6.320402596355144e-14,0.9999923729546758,7.627045401122842e-06
2007-05-31,9.681277528373102e-16,2.1558843003239433e-09,0.9999940108347981,5.987009453621934e-06
2007-06-30,1.9549883189851068e-16,2.277942306047415e-05,0.9999770225006219,1.9807637863034162e-07
2007-07-31,6.56151596535608e-14,0.005059383885969283,0.9949383633464741,2.2527676642045795e-06
2007-08-31,5.389553982849375e-10,0.2278359404472089,0.7721534248012962,1.0634212728343235e-05
2007-09-30,1.4934366463948202e-07,0.9783471191173042,0.021652729623490723,1.9153482055915555e-09
2007-10-31,0.00032348825172348833,0.9987102969271597,0.0009662148209217723,1.5395951002362663e-13
2007-11-30,0.18110116820576633,0.8188988317706052,2.3701920116058874e-11,4.822669330660874e-17
2007-12-31,0.9208991447206593,0.07910085527931482,6.625102956012533e-15,2.628221958025186e-25
2008-01-31,0.9999131093180874,8.689068208503478e-05,3.155559905975312e-26,7.393127054251021e-34
2008-02-29,0.9999999561687228,4.383131219939727e-08,5.129950553033318e-37,1.8687921938809016e-48
2008-03-31,0.9999999751553336,2.4844873456338555e-08,3.4461148404613985e-36,2.676258952208983e-57
2008-04-30,0.999999945918718,5.40813919366053e-08,8.459211473839544e-26,1.0600225020032777e-52
2008-05-31,0.9999999305496228,6.945041945874428e-08,5.719076729808235e-21,1.780642458474074e-41
2008-06-30,0.9999995070085185,4.929915514174078e-07,2.562958479990884e-18,1.8308952756312193e-35
2008-07-31,0.9999716397512011,2.8360248703411767e-05,1.2027427174290507e-18,1.4751423666354827e-33
2008-08-31,0.9999082756072118,9.172439258969677e-05,2.873561679961501e-14,3.874205725081088e-33
2008-09-30,0.02471996893870856,0.9752800310613234,1.4393573756027675e-31,5.528968990675805e-28
2008-10-31,3.9783123448019777e-10,0.9999999996020961,5.792480099830256e-82,7.538663274420301e-43
2008-11-30,5.054079537584991e-11,0.999999999949523,1.3479514814847161e-83,1.0727827888232019e-70
2008-12-31,3.899137214148752e-11,0.9999999999608917,1.0643110908319758e-72,3.2963680866390782e-108
2009-01-31,7.195368322873533e-15,1.0,2.3695069462603348e-112,2.234308219516771e-120
2009-02-28,3.2256202494041967e-15,1.0,5.5515465110571075e-129,4.7013483276963613e-147
2009-03-31,2.465120399393916e-15,1.0,1.2804814572867345e-111,2.5170178654959198e-152
2009-04-30,2.6158184924506112e-15,1.0,1.3733465906294036e-118,1.8761050607054525e-133
